anio,semana_epi,casos,n_obs_base,anios_presentes_base,cumple_piso_suficiencia,corte_inferior_base,corte_superior_base,etiqueta_riesgo,temp_max_lag1,temp_max_lag2,temp_max_media_movil4,temp_min_lag1,temp_min_lag2,temp_min_media_movil4,temp_media_lag1,temp_media_lag2,temp_media_media_movil4,humedad_relativa_media_lag1,humedad_relativa_media_lag2,humedad_relativa_media_media_movil4,punto_rocio_lag1,punto_rocio_lag2,punto_rocio_media_movil4,precipitation_sum_lag1,precipitation_sum_lag2,precipitation_sum_media_movil4,precipitation_hours_lag1,precipitation_hours_lag2,precipitation_hours_media_movil4
2018,2,0.0,12,4,True,141.25,158.2,bajo,30.70792857142857,31.348,30.77167857142857,19.90714285714286,20.451,19.778285714285715,24.393857142857144,25.261214285714285,24.578339285714286,54.816428571428574,56.42857142857143,57.13516071428572,14.014214285714285,15.306,14.837946428571428,0.03571428571428571,0.07142857142857142,0.08392857142857142,0.14285714285714285,0.5,0.6607142857142857
2018,3,58.0,12,4,True,147.25,158.2,bajo,30.507142857142856,30.70792857142857,31.208910714285715,18.0725,19.90714285714286,19.78469642857143,23.684714285714286,24.393857142857144,24.81075,56.061214285714286,54.816428571428574,56.867339285714294,13.457214285714286,14.014214285714285,14.876750000000001,0.0,0.03571428571428571,0.06607142857142857,0.0,0.14285714285714285,0.5
2018,4,70.0,12,4,True,150.25,163.6,bajo,28.536785714285713,30.507142857142856,30.274964285714283,18.44392857142857,18.0725,19.218642857142857,22.47342857142857,23.684714285714286,23.95330357142857,52.193714285714286,56.061214285714286,54.87498214285715,11.732714285714286,13.457214285714286,13.627535714285715,0.014285714285714285,0.0,0.030357142857142857,0.07142857142857142,0.0,0.17857142857142855
2018,5,78.0,12,4,True,153.5,164.6,bajo,32.357214285714285,28.536785714285713,30.52726785714286,21.194928571428573,18.44392857142857,19.404625000000003,26.094,22.47342857142857,24.161499999999997,56.79571428571428,52.193714285714286,54.966767857142855,16.058214285714286,11.732714285714286,13.815589285714285,1.292857142857143,0.014285714285714285,0.33571428571428574,3.9285714285714284,0.07142857142857142,1.0357142857142856
2018,6,81.0,12,4,True,162.0,170.4,bajo,32.314214285714286,32.357214285714285,30.928839285714282,21.11542857142857,21.194928571428573,19.70669642857143,25.919357142857145,26.094,24.542875000000002,55.83657142857143,56.79571428571428,55.22180357142857,15.680642857142857,16.058214285714286,14.232196428571429,0.22142857142857142,1.292857142857143,0.3821428571428571,1.2142857142857142,3.9285714285714284,1.3035714285714286
2018,7,85.0,12,4,True,163.5,172.8,bajo,32.70392857142857,32.314214285714286,31.478035714285717,21.037785714285715,21.11542857142857,20.448017857142858,26.4205,25.919357142857145,25.22682142857143,54.45928571428571,55.83657142857143,54.82132142857142,15.435714285714285,15.680642857142857,14.726821428571428,0.30714285714285716,0.22142857142857142,0.4589285714285714,1.1428571428571428,1.2142857142857142,1.5892857142857144
2018,8,87.0,12,4,True,162.75,203.4,bajo,32.801,32.70392857142857,32.54408928571429,20.753071428571428,21.037785714285715,21.025303571428573,26.297,26.4205,26.182714285714287,52.663357142857144,54.45928571428571,54.93873214285714,14.601,15.435714285714285,15.443892857142856,0.02857142857142857,0.30714285714285716,0.46249999999999997,0.2857142857142857,1.1428571428571428,1.6428571428571426
2018,9,96.0,12,4,True,178.5,216.9,bajo,32.892785714285715,32.801,32.67798214285715,21.0285,20.753071428571428,20.983696428571427,26.542928571428572,26.297,26.29494642857143,53.00007142857143,52.663357142857144,53.98982142857143,14.861214285714286,14.601,15.144642857142856,0.5071428571428571,0.02857142857142857,0.26607142857142857,2.142857142857143,0.2857142857142857,1.1964285714285712
2018,10,49.0,12,4,True,193.5,266.40000000000003,bajo,32.19092857142857,32.892785714285715,32.64716071428571,20.381714285714285,21.0285,20.800267857142856,25.8255,26.542928571428572,26.271482142857145,56.367285714285714,53.00007142857143,54.1225,15.237785714285714,14.861214285714286,15.033928571428572,0.9357142857142857,0.5071428571428571,0.4446428571428571,3.7857142857142856,2.142857142857143,1.8392857142857142
2018,11,78.0,12,4,True,210.0,348.6,bajo,33.63485714285714,32.19092857142857,32.87989285714286,19.542857142857144,20.381714285714285,20.426535714285713,26.055142857142858,25.8255,26.180142857142858,53.16321428571428,56.367285714285714,53.79848214285714,14.121428571428572,15.237785714285714,14.705357142857144,0.0,0.9357142857142857,0.3678571428571429,0.0,3.7857142857142856,1.5535714285714284
